Mã hàng,Mã vạch,Tên hàng,ĐVT,Parent_SKU
HPKAQU1001,497655585824007,Áo yếm sọc thêu hoạt hình,Cái,
HPKAQU1001-01,497655585823131,Áo yếm sọc thêu hoạt hình size 01,Cái,
HPKAQU1001-0S,497655585823130,Áo yếm sọc thêu hoạt hình size S,Cái,
HPKAQU1002,497655585824006,Áo sọc tai thỏ,Cái,
HPKAQU1002-01,497655585823233,Áo sọc tai thỏ size 01,Cái,
HPKAQU1002-03,497655585823230,Áo sọc tai thỏ size 03,Cái,
HPKAQU1002-07,497655585823231,Áo sọc tai thỏ size 07,Cái,
HPKAQU1002-0S,497655585823232,Áo sọc tai thỏ size S,Cái,
HPKAQU1003,497655585824005,Áo Red Panda,Cái,
HPKAQU1003-01,497655585823132,Áo Red Panda size 01,Cái,
HPKAQU1003-04,497655585823227,Áo Red Panda size 04,Cái,
HPKAQU1003-06,497655585823228,Áo Red Panda size 06,Cái,
HPKAQU1003-07,497655585823229,Áo Red Panda size 07,Cái,
HPKAQU1003-0S,497655585823226,Áo Red Panda size S,Cái,
HPKAQU1004,497655585824004,Áo kẻ sọc Bear,Cái,
HPKAQU1004-00,497655585824086,Áo kẻ sọc Bear size 00,Cái,
HPKAQU1004-01,497655585823234,Áo kẻ sọc Bear size 01,Cái,
HPKAQU1004-02,497655585824085,Áo kẻ sọc Bear size 02,Cái,
HPKAQU1004-03,497655585824238,Áo kẻ sọc Bear size 03,Cái,
HPKAQU1004-04,497655585823235,Áo kẻ sọc Bear size 04,Cái,
HPKAQU1004-05,497655585823238,Áo kẻ sọc Bear size 05,Cái,
HPKAQU1004-06,497655585823239,Áo kẻ sọc Bear size 06,Cái,
HPKAQU1004-07,497655585823240,Áo kẻ sọc Bear size 07,Cái,
HPKAQU1004-08,497655585824087,Áo kẻ sọc Bear size 08,Cái,
HPKAQU1004-09,497655585824088,Áo kẻ sọc Bear size 09,Cái,
HPKAQU1004-10,497655585824089,Áo kẻ sọc Bear size 10,Cái,
HPKAQU1004-11,497655585823241,Áo kẻ sọc Bear size 11,Cái,
HPKAQU1004-12,497655585824090,Áo kẻ sọc Bear size 12,Cái,
HPKAQU1004-13,497655585824091,Áo kẻ sọc Bear size 13,Cái,
HPKAQU1004-14,497655585824092,Áo kẻ sọc Bear size 14,Cái,
HPKAQU1004-15,497655585824239,Áo kẻ sọc Bear size 15,Cái,
HPKAQU1005,497655585824003,Áo Cute Rabbit,Cái,
HPKAQU1005-01,497655585823242,Áo Cute Rabbit size 01,Cái,
HPKAQU1005-03,497655585823243,Áo Cute Rabbit size 03,Cái,
HPKAQU1005-05,497655585823244,Áo Cute Rabbit size 05,Cái,
HPKAQU1005-06,497655585823245,Áo Cute Rabbit size 06,Cái,
HPKAQU1005-07,497655585823246,Áo Cute Rabbit size 07,Cái,
HPKAQU1005-09,497655585823247,Áo Cute Rabbit size 09,Cái,
HVSXXX1001,8809644818291,"Kem đánh răng cho chó mèo Signatureby StomoAct BEO Toothpaste, 90g/hộp",Hộp,
HVTCON0000,497655585824029,Cồn 70,Lít,
HVTGIN0000,497655585823313,Giấy in nhiệt dùng cho máy Vetube,Cuộn,
MHCTKM1001,8850477025165,Me-O Senior Cat Mackerel Flavour - 400g ( 18 x 1 / Carton ),Gói,
MHCTKM1002,497655585823321,Pure Nature mèo chicken 200g (KM),Gói,
MHCTKM1003,497655585823322,Pure Nature mèo salmon 200g (KM),Gói,
MHCTKM1004,497655585823323,Pure Nature mèo Diet 200g (KM),Gói,
MTPCHI1004,6973033842142,TA cho mèo S2PET V2 1kg,Túi,
MTPCHI1005,6973033841565,TA cho mèo S2PET Premium (1kg),Túi,
MTPPHU2001,8809557030063,"Sữa mèo trưởng thành (dạng nước) Dr.HOLI PET MILK CAT, 200mL",Bịch,
MTPPHU2002,8809557030421,"TA BSDD cho mèo con dưới 12 tháng tuổi (dạng nước) Dr.HOLI PET MILK KITTEN, 180mL",Bịch,
THT1003,89938534079618,Thuốc thú y ANTIMEDIN 10ML,ml,
THT1003,497655585823736,,Lọ,
PD51O01,8936221911134,Prolax (dog)_ống 5ml_Hộp 10 ống,Ống,
PD51O01,497655585823545,,Hộp,
TCN2011,8809844870167,TA bố sung cho chó - Immuno G (for Dog),Gói,
TCN2011,497655585823578,,Hộp,
TCN2015,8809844870044,TABS cho chó - Quad (for Dog),Gói,
TCN2015,497655585823579,,Hộp,
TCN2016,89938534079446,"TABS cho chó - 10KD (for Dog);1 gói/1 gam, 30 gói/hộp",Gói,
TCN2016,497655585823577,,Hộp,
TCN2018,8809844870037,TABS cho chó - T - Flora (for Dog),Gói,
TCN2018,497655585823580,,Hộp,
KVS1001,9557837004656,"Khay vệ sinh Mesh  chó bằng nhựa,Purmi - màu Hồng ( New)",Chiếc,
KVS1002,9557837004657,"Khay vệ sinh Mesh chó bằng nhựa, Purmi - màu xanh lá ( new)",Chiếc,
KVS1003,9557837004658,"Khay vệ sinh Mesh  chó bằng nhựa, Pumi- màu xám đậm",Chiếc,
KVS1004,9557837004720,"Khay vệ sinh , model: LS179, kích thước: 60*44*13cm",Chiếc,
KVS1005,9557837004721,"Khay vệ sinh  model: LS180, kích thước: 46.5*35.5*5.5cm,",Chiếc,
KVS1007,9557837004723,"Khay vệ sinh chó dạng lưới, kích thước 63*47*5.5cm",Chiếc,
KVS1010,89938534079476,Khay vệ sinh chó dẹp,Cái,
KVS1011,89938534079907,"Khay vệ sinh PVN 2621, bằng nhựa, không phụ kiện, kt 36x47x5.5cm",Cái,
CĐCXXX1001,497655585823119,Đồ chơi cho thú cưng (JJFD1737 L),Cái,
CĐCXXX1002,6976551700659,Đồ chơi hình cáo cao su DCF18804,Cái,
CĐCXXX1003,6976551700642,Đồ chơi khủng long cao su DCF18803,Cái,
DCP1013,89938534079871,Khúc xương nhựa,Cái,
DCP1014,6976551702462,Đồ chơi thú bông cho chó hình con thỏ Fofos - DCF18879,Cái,
DCP1015,6976551702479,Đồ chơi thú bông cho chó hình con gấu Fofos - DCF18880,Cái,
DCP1016,6976551702486,Đồ chơi thú bông cho chó hình con sư tử Fofos - DCF18881,Cái,
DCP1017,6976551702493,Đồ chơi thú bông cho chó hình con khỉ Fofos - DCF18882,Cái,
DCP1018,6971067408785,Đồ chơi thú bông cho chó hình Thỏ xám Fofos - D08785,Cái,
DCP1019,6971067408778,Đồ chơi thú bông cho chó hình Heo hồng Fofos - D08778,Cái,
DCP1020,6971067405708,Đồ chơi dây thắt 3 đầu cho chó Fofos - DCF18594,Cái,
DCP1022,6971067401113,Đồ chơi dây thắt 2 đầu cho chó Fofos - DCF18728,Cái,
DCP1023,6976551700635,Đồ chơi cao su cho chó hình con gấu trúc Fofos - DCF18802,Cái,
DCP1024,6976551700666,Đồ chơi cao su cho chó hình con khỉ Fofos - DCF18805,Cái,
DCP1025,6976551700673,Đồ chơi cao su cho chó hình con gấu Fofos - DCF18806,Cái,
DCP1026,6976551700680,Đồ chơi cao su cho chó hình con hà mã Fofos - DCF18807,Cái,
DCP1036,89938534079975,"Đồ chơi cho chó, hình trái banh, bằng nhựa (NT8209S)",Cái,
DCP1037,89938534079976,"Đồ chơi cho chó, hình trái banh, bằng nhựa (NT8210S)",Cái,
DCP1040,89938534079980,Đồ chơi cho thú cưng (JJFD2181),Cái,
DCP1042,89938534079982,Đồ chơi cho thú cưng (JJFD1739),Cái,
DCP1044,6930095873910,Đồ chơi cho thú cưng (JJFD4101),Cái,
DCP1045,6930095873897,Đồ chơi cho thú cưng (OPT63131),Cái,
DCP1046,89938534079986,Đồ chơi cho thú cưng (OPT63018),Cái,
DCP1049,89938534079977,"Đồ chơi  hình trái banh, bằng nhựa (NT8212S)",Cái,
DCP1056,4976555857764,Hộp đồ chơi cho chó - Dây cotton 2 màu #85776,Cái,
TCN1016,8936221912032,Emetica_10ml_Chai (dog),ml,
TCN1016,497655585824083,,Chai,
TCN2006,8935020310377,Bromhexine_5ml_Ống(chó),Ống,
TCN2009,8936221911042,DiarAid (Dog) - ống 3ml- hộp 3 ống,Ống,
TCN2009,497655585823382,,Hộp,
TCN2013,8936221913022,Calcium delight (dog)_5mlx20,Tuýp,
TCN2013,497655585823372,,Hộp,
TCN2035,026664003546,TA Daily Multi For Dogs 30V,Viên,
TCN2035,497655585823620,,Túi,
TCN2049,8936221910038,Kidney shield (Dog-viên)_30 viên_hộp,Viên,
TCN2049,497655585823440,,Hộp,
TCN2052,89938534079462,Kidney shield (Dog)_(6 viên/vĩ- hộp 2 vĩ),Viên,
TCN2052,497655585823439,,Hộp,
TCN2055,026664007841,TA Daily Multi For Dogs 150V,Viên,
TCN2055,497655585823619,,Lọ,
TCN2064,8859133901546,TA chăn nuôi bổ sung DR. PETZ DOGIMUNE,Viên,
TCN2064,497655585823590,,Hộp,
TCN2067,8859133901560,TA chăn nuôi bổ sung DR. PETZ SAME FOR SMALL DOG,Viên,
TCN2067,497655585823595,,Hộp,
TKS2005,8936221910014,Revital (3.6mg-dog)(5 viên/vĩ_hộp 2 vĩ),Viên,
TKS2005,497655585823555,,Hộp,
TKS2007,8936221910083,Revital (5.4 mg - dog)(5 viên/vĩ_hộp 2 v,Viên,
TKS2007,497655585823556,,Hộp,
TKS2009,89938534079522,THUỐC THÚ Y - APOQUEL 3.6MG ( 100'S),Viên,
TKS2009,497655585823733,,Hộp,
TKS2010,087219111482,THUỐC THÚ Y - APOQUEL 5.4MG,Viên,
TKS2010,497655585823734,,Hộp,
TKS2011,087219111505,THUỐC THÚ Y - APOQUEL 16MG ( 100'S),Viên,
TKS2011,497655585823732,,Hộp,
TKS2017,8936221910342,REVITAL (16mg-DOG)_(5 viên/vĩ- hộp 2 vĩ),Viên,
TKS2017,497655585823554,,Hộp,
CĐTTGV1001,4028691570233-,NEXGARD SPECTRA 1G- Hộp 03 viên (S >3.5-7.5kg),Viên,
CĐTTGV1001,4976555858235310,,Hộp,
HĐTTKS2033,8993853407952,Bravecto 1000mg,Viên,
TGV2001,7502010422375,ENDOGARD 10,Viên,
TGV2001,497655585823388,,Vỉ,
TGV2002,8936221910090,NOMECTO 45 MG_Viên nhai mềm (HỘP 1 VIÊN),Hộp,
TGV2003,8936221910106,NOMECTO 100 MG_Viên nhai mềm (HỘP 1 VIÊN,Hộp,
TGV2004,8936221910113,NOMECTO 200 MG_Viên nhai mềm (HỘP 1 VIÊN,Hộp,
TGV2017,89938534079438,MILPRO 2.5MG/25MG,Viên,
TGV2017,497655585823464,,Hộp,
TGV2018,9556106500257,MILPRO 12.5MG/125MG,Viên,
TGV2018,497655585823462,,Hộp,
TGV2020,3661103048572,NEXGARD SPECTRA 0.5G- Hộp 03 viên (XS 2-3.5kg),Viên,
TGV2020,497655585823530,,Hộp,
TGV2021,4028691570233,NEXGARD SPECTRA 1G- Hộp 03 viên (S >3.5-7.5kg),Viên,
TGV2021,497655585823531,,Hộp,
TGV2022,4028691570202,NEXGARD SPECTRA 2G- Hộp 03 viên (M >7.5-15kg),Viên,
TGV2022,497655585823532,,Hộp,
TGV2023,4028691570172,NEXGARD SPECTRA 4G- Hộp 03 viên (L >15-30kg),Viên,
TGV2023,497655585823533,,Hộp,
TGV2024,3661103042877,NEXGARD DOG M 6 28MG,Viên,
TGV2024,497655585823527,,Hộp,
TGV2026,4028691569848,NEXGARD SPECTRA 8G-Hộp 03 viên (XL >30-60kg),Viên,
TGV2026,497655585823534,,Hộp,
TGV2027,3661103042853,NEXGARD DOG S 6 11MG  2-4kg,Viên,
TGV2027,497655585823528,,Hộp,
TGV2028,4028691568919,NEXGARD DOG L 6 68MG (10-25kg),Viên,
TGV2028,497655585823526,,Hộp,
TGV2029,3661103042914,NEXGARD DOG XL 6 136MG 25-50kg,Viên,
TGV2029,497655585823529,,Hộp,
TGV2030,9557837004647,Bravecto 112.5mg,Viên,
TGV2031,9557837004648,Bravecto 250mg,Viên,
TGV2032,89938534079529,Bravecto 500mg,Viên,
TGV2033,89938534079528,Bravecto 1000mg,Viên,
TGV2034,497655585822851,Bravecto 1400mg (40-56kg),Viên,
TGV2039,8936221910335,"Iverguard chó 11,6–22,5kg (6 viên/vĩ/hộp)",Viên,
TGV2039,497655585823417,,Hộp,
TGV2040,8936221910328,"Iverguard chó 5,6–11,5kg_(6 viên/vĩ/hộp)",Viên,
TGV2040,497655585823419,,Hộp,
TGV2041,8936221910311,"Iverguard chó 2,5–5,5kg (6 viên/vĩ/hộp)",Viên,
TGV2041,497655585823418,,Hộp,
TGV2043,89938534079464,EL300002 - DRONTAL TASTY 4x6,Viên,
TGV2043,497655585823386,,Hộp,
TGV3006,9556106500205,FRONTLINE PLUS DOG 0.67ml(Hộp),Tuýp,
TGV3006,497655585823393,,Hộp,
TGV3007,9556106500206,FRONTLINE PLUS DOG 1.34ml(Hộp),Tuýp,
TGV3007,497655585823394,,Hộp,
TGV3008,9557837004714,FRONTLINE PLUS DOG 2.68ml(Hộp),Tuýp,
TGV3008,497655585823395,,Hộp,
IT13V01,8936221910144,Itra tab 100mg (30 viên/chai),Viên,
IT13V01,497655585823414,,Hộp,
IT23V01,8936221910137,Itra tab 25mg_Dog (30 viên/chai),Viên,
IT23V01,497655585823416,,Chai,
IT23V02,8936221910120,Itra tab 25mg_Cat (30 viên/chai),Viên,
IT23V02,497655585823415,,Chai,
TKS2013,497655585823040,INFLACAM 2.5MG,Viên,
TKS2013,497655585823412,,Hộp,
CHCTKM1001,4976555169850,TA hạt Healthy Choice chó con 1.5kg,Gói,
CHCTKM1002,4976555169898,TA hạt Healthy Choice  chó  giống vừa & lớn 1.5kg,Gói,
CHCTKM1003,497655585823318,Pure nature chó Duck and Potatoes 200g (KM),Gói,
CHCTKM1004,497655585823319,Pure nature chó Salmon and Potatoes 200g (KM),Gói,
CHCTKM1005,497655585823320,Pure nature chó Lamb and Sweet Potatoes 200g (KM),Gói,
CHCTKM1006,4976555169874,TA hạt Healthy Choice chó giống nhỏ 1.5kg,Gói,
HPKRLO1017,497655585824185,Khớp mõm nhựa 1 (HK),Cái,
HPKRLO1018,497655585824186,Khớp mõm nhựa 2 (HK),Cái,
HPKRLO1019,497655585824187,Khớp mõm nhựa 3 (HK),Cái,
HPKRLO1020,497655585824188,Khớp mõm nhựa 4 (HK),Cái,
HPKRLO1021,497655585824189,Khớp mõm nhựa 5 (HK),Cái,
PKP1028,89938534079602,Khớp si X khóa gài nhỏ,Cái,
PKP1029,89938534079603,Khớp si X khóa gài trung,Cái,
PKP1030,89938534079604,Khớp si X khóa gài lớn,Cái,
PKP1033,89938534079640,Khớp mõm nhựa 1,Cái,
PKP1034,89938534079641,Khớp mõm nhựa 2,Cái,
PKP1035,89938534079642,Khớp mõm nhựa 3,Cái,
PKP1036,89938534079643,Khớp mõm nhựa 4,Cái,
PKP1037,89938534079644,Khớp mõm nhựa 5,Cái,
PKP1058,89938534079713,"Rọ mõm hình con vịt, SP1297, làm từ nhựa size L,",Chiếc,
PKP1059,89938534079714,"Rọ mõm hình con vịt, SP1296, làm từ nhựa size M",Chiếc,
PKP1104,497655585822903,Khớp inox Bull,Cái,
PKP1105,497655585822907,Khớp inox Becger,Cái,
PKP1111,497655585822949,Khớp inox Roculer,Cái,
PKP1112,497655585822951,Khớp da trung,Cái,
PKP1116,497655585822980,Khớp da nhỏ,Cái,
PKP1117,497655585822981,Khớp da lớn,Cái,
CPKTBI1001,497655585824069,Bỉm quần chó đực Kamt size XL,Cái,
CPKTBI1001,8936204290997,,Túi,
TQP1001,671875796765,Miếng lót Male Wrap 12_435x190 mm,Miếng,
TQP1001,497655585823450,,Bịch,
TQP1002,671875796796,Miếng lót Male Wrap 11_500x205 mm,Miếng,
TQP1002,497655585823449,,Bịch,
TQP1003,671875796802,Miếng lót Male Wrap 9_610x205 mm,Miếng,
TQP1003,497655585823453,,Bịch,
TQP1004,671875796826,Miếng lót Male Wrap 7_850x205 mm,Miếng,
TQP1004,497655585823451,,Bịch,
TQP1005,671875796819,Miếng lót Male Wrap 8_815x205 mm,Miếng,
TQP1005,497655585823452,,Bịch,
TQP1006,8938534079327,"Bỉm cho chó đực, hiệu Pet Limitless, size M, kích thước 65*20cm, 12 cái/bịch, chất liệu vật liệu tổng hợp, 1 BỊCH=1TÚI. hàng mới 100%",Cái,
TQP1006,497655585823352,,Bịch,
TQP1007,8938534079310,"Bỉm cho chó đực, hiệu Pet Limitless, size S, kích thước 55*20cm, 12 cái/bịch, chất liệu vật liệu tổng hợp,1 BỊCH=1TÚI. hàng mới 100%",Cái,
TQP1007,497655585823353,,Bịch,
TQP1008,8938534079426,"Bỉm cho chó đực, hiệu Pet Limitless, size XS, kích thước 42*17.5cm, 12 cái/bịch, chất liệu vật liệu tổng hợp,1 BỊCH=1TÚI. hàng mới 100%",Cái,
TQP1008,497655585823354,,Bịch,
TQP1009,89938534079402,"Bỉm cho chó cái, hiệu Pet Limitless, size M, kích thước 42.5*30cm, 12 cái/bịch, chất liệu vật liệu tổng hợp, hàng mới 100%",Cái,
TQP1009,497655585823348,,Bịch,
TQP1010,8938534079273,"Bỉm cho chó cái, hiệu Pet Limitless, size S, kích thước 37*27.5cm, 12 cái/bịch, chất liệu vật liệu tổng hợp,1 BỊCH=1TÚI. hàng mới 100%",Cái,
TQP1010,497655585823349,,Bịch,
TQP1011,8938534079303,"Bỉm cho chó cái, hiệu Pet Limitless, size XS, kích thước 34*26cm, 12 cái/bịch, chất liệu vật liệu tổng hợp, 1 BỊCH=1TÚI. hàng mới 100%",Cái,
TQP1011,497655585823350,,Bịch,
TQP1012,8938534079419,"Bỉm cho chó cái, hiệu Pet Limitless, size XXS, kích thước 30*26cm, 12 cái/bịch, chất liệu vật liệu tổng hợp,1 BỊCH=1TÚI. hàng mới 100%",Cái,
TQP1012,497655585823351,,Bịch,
TQP1013,89938534079434,Tả quần chó cái SP1211 size L 32x50cm,Miếng,
TQP1013,497655585823356,,Túi,
TQP1014,89938534079898,"Tả quần chó đực PVN13 size L, kích thước 22x63.5",Cái,
TQP1014,497655585823359,,Túi,
TQP1015,89938534079899,"Tả quần chó đực PVN12,size M, kt 20x53.5cm",Cái,
TQP1015,497655585823358,,Túi,
TQP1016,89938534079900,"Tả quần chó đực PVN11, size S, kt 17.5x42.5cm",Cái,
TQP1016,497655585823357,,Túi,
TQP1017,89938534079901,"Tả quần chó cái SP1210, size M 30x42.5cm",Cái,
TQP1017,497655585823355,,Túi,
TQP1018,8936204290980,"Bỉm quần dùng một lần cho thú cưng đực, size L, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1018,497655585823365,,Túi,
TQP1019,8936204291031,"Bỉm quần dùng một lần cho thú cưng cái, size L, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1019,497655585823360,,Túi,
TQP1020,8936204291017,"Bỉm quần dùng một lần cho thú cưng cái, size S, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1020,497655585823362,,Túi,
TQP1021,8936204291000,"Bỉm quần dùng một lần cho thú cưng cái, size XS, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1021,497655585823363,,Túi,
TQP1022,8936204290973,"Bỉm quần dùng một lần cho thú cưng đực, size M, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1022,497655585823366,,Túi,
TQP1023,8936204291024,"Bỉm quần dùng một lần cho thú cưng cái, size M, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1023,497655585823361,,Túi,
TQP1024,8936204290966,"Bỉm quần dùng một lần cho thú cưng đực, size S, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1024,497655585823367,,Túi,
TQP1025,497655585822998,"Bỉm quần dùng một lần cho thú cưng cái, size XXS, nhãn hiệu Kamt, đóng 40pcs/thùng, 1pcs=1 gói, mới 100%",Cái,
TQP1025,497655585823364,,Túi,
PKP1023,89938534079488,Nón tai bèo size S,Cái,
PKP1026,89938534079486,Nón tai bèo size L,Cái,
PKP1027,89938534079487,Nón tai bèo size M,Cái,
PKP1072,89938534079929,Nón lưỡi trai - Size L,Cái,
PKP1073,89938534079930,Nón lưỡi trai - Size M,Cái,
PKP1074,89938534079931,Nón lưỡi trai - Size S,Cái,
PKP1086,497655585822746,Nón kaki L,Cái,
PKP1094,497655585822872,Mũ bảo vệ dành cho thú cưng nhỏ,Chiếc,
PKP1095,497655585822873,Nón kaki S,Cái,
PKP1096,497655585822874,Nón kaki M,Cái,
PKP1101,497655585822887,Nón kết kaki S,Cái,
PKP1102,497655585822888,Nón kết kaki M,Cái,
PKP1103,497655585822889,Nón kết kaki L,Cái,
CQTANA0000,497655585823257,Que test Anaplasma,Cái,
CQTBAB0000,497655585823258,Que test Babesia,Cái,
CQTCCV0000,497655585823261,Que test CCV,Cái,
CQTCDV0000,497655585823264,Que test CDV,Cái,
CQTCPV0000,497655585823260,Que test CPV,Cái,
CQTECA0000,497655585823259,Que test E.canis,Cái,
CQTIGE0000,497655585823277,"Chất thử thí nghiệm CaAllergen IgE, code VIB-CAIGE dùng trong phòng thí nghiệm",Mẫu,
CQTMCP0000,497655585823269,105-00254A-00 Test Canine Pancreatic Lipase (cPL) dùng cho máy phân tích miễn dịch thú y (Mindray),Cái,
CQTMCR0000,497655585823270,105-00252A-00 Test Canine C-Reactive Protein (cCRP) dùng cho máy phân tích miễn dịch thú y (Mindray),Cái,
CQTMCT0000,497655585823273,105-00264A-00 Test Canine Thyroid-Stimulating Hormone (cTSH) dùng cho máy phân tích miễn dịch thú y (Mindray),Cái,
CQTMSD0000,497655585823276,105-00273A-00 Test Canine Symmetric Dimethylarginine (cSDMA) dùng cho máy phân tích miễn dịch thú y (Mindray),Cái,
CQTMT40000,497655585823272,105-00263A-00 Test Canine Thyroxine (CT4) dùng cho máy phân tích miễn dịch thú y (Mindray),Cái,
CQTVCC0000,497655585823255,Vcheck cCortisol,Cái,
CQTVCP0000,497655585823256,Vcheck cPL 2.0,Cái,
CQTVCT0000,497655585823253,Vcheck cTSH,Cái,
CTHPHU1001,8852070025443,Goodies hình xương tổng hợp,Gói,
CTPPHU1012,6978844090805,Xúc xích Adelwoof vị thịt gà,Túi,
CTPPHU1013,6978844090782,Xúc xích Adelwoof vị thịt bò,Túi,
CTPPHU1014,6978844090775,Xúc xích Adelwoof vị thịt cá,Túi,
CTPPHU1015,6978844090799,Xúc xích Adelwoof vị thịt vịt,Túi,
CTPPHU1018,8853301011266-1,SMK-T/a vat Cho - QUE bo xong khoi 70g,Túi,
CTPPHU1018,4976555858233340,,Hộp,
CTPPHU1018,4976555858233350,,Thùng,
CTKMTK1001,497655585824051,ST YÚ hương Vải Thiều 50ml,Chai,
CTKMTK1002,497655585824052,ST YÚ hương Hoa Lan 50ml,Chai,
CTKMTK1003,497655585824291,Thùng bán nguyệt chó 2kg (HTK),Cái,
CTKMTK1004,497655585824292,Thùng bán nguyệt mèo 2kg (HTK),Cái,
CTPCHI1001,6973033842975,TA cho chó S2PET T1 (1kg),Túi,
CTPCHI1002,6976632560394,"Hat cho chó MR.VET D1 (1,4KG/BAG)",Gói,
CTPCHI1003,8809167911462,TA HƯƠNG GÀ CHO CHÓ DR. HEALMEDIX HYPOALLERGENIC PURE PROTEIN PLUS 1500GR,Túi,
CTPCHI1004,8809167911189,TA CHO CHÓ DR.HEALMEDIX RENAL 1500GR,Túi,
CTPCHI1024,9310022530708-,Thuc An Cho con-Vi Ga & trung&sua 1.3kg,Túi,
CTPCHI1024,4976555858236060,,Thùng,
CTPCHI1025,8938519869240-,Hạt rau chó,Gói,
CTPCHI1025,4976555858236681,,Hộp,
CTPCHI1026,6914973309708-,T.An Cho - vi bo&rau cu tui 500g_N,Túi,
CTPCHI1026,4976555858235630,,Thùng,
CTPCHI2001,8853301530309-,Sot cho lon-Vi gan nuong & rau 130g_N,Túi,
CTPCHI2001,4976555858235610,,Hộp,
CTPCHI2002,8853301530019-,Thuc An Cho-Vi Bo nau sot 130g,Túi,
CTPCHI2002,4976555858236130,,Hộp,
CTPPHU1017,8850477814400-0,Smartheart Beef & Liver - 400 gm.,Hộp,
CTPPHU1019,8850477834408-,Smartheart Chicken & Liver - 400 gm,Hộp,
CTPPHU1022,8850477015913-0,SmartHeart Chicken Formula- 400g ( 24 x 1 / Carton ),Lon,
CTPPHU1023,8850477015944-0,SmartHeart Chicken Stew With Vegetables- 400g ( 24 x 1 / Carton ),Lon,
CTPPHU1024,8850477006300-0,SmartHeart Chicken With Smoked Sausage- 400g ( 24 x 1 / Carton ),Lon,
CTPPHU1025,8850477004672-0,SmartHeart Beef Stew With Vegetables- 400g ( 24 x 1 / Carton ),Lon,
CTPPHU1026,8850477816459-0,SmartHeart Beef Flavor Chunk In Gravy - 130 gm,Gói,
CTPPHU1027,8850477833456-,Bản sao của Smartheart Chicken Flavor Chunk In Gravy 130 gm.,Gói,
TAC1001,3182550402460,TA hạt cho chó - Maxi Puppy 1kg,Bao,
TAC1002,3182551055764,TA hạt cho chó - Pro Mini Adult 15kg,Bao,
TAC1003,3182550778305,TA hạt cho chó - Maxi Puppy 10kg,Bao,
TAC1004,3182550782388,TA hạt cho chó - Pro Mini Puppy 15kg,Bao,
TAC1005,3182550793001,TA hạt cho chó - Mini Puppy 2kg,Bao,
TAC1006,3182550793049,TA hạt cho chó - Mini Puppy 8kg,Bao,
TAC1007,3182550716888,TA hạt cho chó - Mini Adult 8kg,Bao,
TAC1008,3182550778077,TA hạt cho chó - Medium Puppy 10kg,Bao,
TAC1009,3182550774536,TA hạt cho chó - Medium Adult 10kg,Bao,
TAC1010,3182550402408,TA hạt cho chó - Maxi Adult 1kg,Bao,
TAC1011,3182550774581,TA hạt cho chó - Maxi Adult 10kg,Bao,
TAC1012,3182550803359,TA hạt cho chó - Pro Maxi Puppy 16kg,Bao,
TAC1013,3182550718813,TA hạt cho chó - Chihuahua Adult 500gr,Bao,
TAC1014,3182550722537,TA hạt cho chó - Chihuahua Junior 500gr,Bao,
TAC1015,3182550716826,TA hạt cho chó - Poodle Adult 500gr,Bao,
TAC1016,3182550743174,"TA hạt cho chó - Poodle Adult 1,5kg",Bao,
TAC1017,3182550765190,TA hạt cho chó - Poodle Puppy 500gr,Bao,
TAC1018,3182550765213,"TA hạt cho chó - Poodle Puppy 1,5kg",Bao,
TAC1019,3182550798945,"TA hạt cho chó - Diabetic Canin 1,5kg",Bao,
TAC1020,3182550731355,TA hạt cho chó - Satiety Weight Management Canin 1.5kg,Bao,
TAC1021,3182550771054,TA hạt cho chó - Gastrointestinal Canine 2kg,Bao,
TAC1022,3182550792929,TA hạt cho chó - Mini Puppy 800gr,Bao,
TAC1023,3182550402439,TA hạt cho chó - Medium Puppy 1kg,Bao,
TAC1024,3182550793124,TA hạt cho chó - Mini Adult 800gr,Bao,
TAC1025,3182550402170,TA hạt cho chó - Mini Adult 2kg,Bao,
TAC1026,3182550708180,TA hạt cho chó - Medium Puppy 4kg,Bao,
TAC1027,3182550708197,TA hạt cho chó - Medium Adult 4kg,Bao,
TAC1028,3182550402224,TA hạt cho chó - Maxi Adult 4kg,Bao,
TAC1029,3182550722544,"TA hạt cho chó - Chihuahua Junior 1,5kg",Bao,
TAC1030,3182550728102,"TA hạt cho chó - Chihuahua Adult 1,5kg",Bao,
TAC1031,3182550402446,TA hạt cho chó - Medium Adult 1kg,Bao,
TAC1032,3182550402149,TA hạt cho chó - Maxi Puppy 4kg,Bao,
TAC1033,3182550940849,TA hạt cho chó - Hypoallergenic Canine 2kg,Bao,
TAC1034,3182550710992,TA hạt cho chó - Renal Canine 2kg,Bao,
