Mã hàng,Mã vạch,Tên hàng,ĐVT,Parent_SKU
TAM2120,8850477517400,Me-O Wet Cat Food Tuna In Jelly 400g(24 x 1/Carton),Lon,
TAM2121,8850477028647,Me-O Wet Cat Food Mackerel With Sardine 400g(24 x 1/Carton),Lon,
TAM2122,8885003130402,Pate Aatas Cat cho mèo: Aatas Cat Finest Daily Defence Tuna Whole Loin & Chicken in Jelly Formula Cat Food Hairball,Lon,
TAM2122,497655585823538,,Thùng,
TAM2123,8885003130433,Pate Aatas Cat cho mèo: Aatas Cat Finest Daily Defence Tuna Whole Loin & Chicken in Jelly Formula Cat Food UTH,Lon,
TAM2123,497655585823540,,Thùng,
TAM2124,8885003130426,Pate Aatas Cat cho mèo: Aatas Cat Finest Daily Defence Tuna Whole Loin & Chicken in Jelly Formula Cat Food Skin & Coat,Lon,
TAM2124,497655585823539,,Thùng,
TAM2125,8885003130457,Pate Aatas Cat cho mèo: Aatas Cat Finest Daily Defence Tuna Whole Loin & Chicken in Jelly Formula Cat Food Fecal Odour Control,Lon,
TAM2125,497655585823537,,Thùng,
TAM2126,8885003130440,Pate Aatas Cat cho mèo: Aatas Cat Finest Daily Defence Tuna Whole Loin & Chicken in Jelly Formula Cat Food Eye Care,Lon,
TAM2126,497655585823536,,Thùng,
TAM2127,8885003130419,Pate Aatas Cat cho mèo: Aatas Cat Finest Daily Defence Tuna Whole Loin & Chicken in Jelly Formula Cat Food Digestive Care,Lon,
TAM2127,497655585823535,,Thùng,
TAM2128,9003579311721,TA dạng sệtcho mèo - Hair & Skin (Jelly) 12x85g,Gói,
TAM2128,497655585823636,,Hộp,
TAM2129,8859557806984,Mckelly Cat Food - Tuna - 400 GR,Hộp,
TAM2130,8859557806991,Mckelly Cat Food - Tuna topping Chicken - 400 GR,Hộp,
TAM2131,8859557807004,Mckelly Cat Food - Tuna topping Shrimp - 400 GR,Hộp,
TAM2132,8859557807011,Mckelly Cat Food - Tuna topping Seafood - 400 GR,Hộp,
TAM2133,8859557807028,Mckelly Cat Food - Tuna topping Shirasu - 400 GR,Hộp,
TAM2134,8859557807035,Mckelly Cat Food - Tuna topping Kanikama - 400 GR,Hộp,
TAM2135,8859557807042,Mckelly Cat Food - Tuna topping Carrot - 400 GR,Hộp,
TAM2136,8859557807059,Mckelly Cat Food - Tuna topping Pumpkin - 400 GR,Hộp,
TAM2137,8855648006561,Ostech Gourmet Tuna Topping Carrot - 400GR,Hộp,
TAM2154,8936217950109,5Plus Catchy Cá ngừ và gà trong thạch cho mèo con 400g (TP0224),Hộp,
TAM2155,8936217950123,5Plus Catchy Cá ngừ và bí đỏ trong thạch cho mèo con 400g (TP0225),Hộp,
TAM2156,123456,TA Dr Coddle for Cat Hair ball care 30g,Hộp,
TAM2156,497655585823638,,Lốc,
TAM2157,123457,TA Dr Coddle for Cat Joint 30g,Hộp,
TAM2157,497655585823639,,Lốc,
TAM2158,123458,TA Dr Coddle for Cat Skin & Coat 30g,Hộp,
TAM2158,497655585823640,,Lốc,
TAM2159,123459,TA Dr Coddle for Cat Urinary tract 30g,Hộp,
TAM2159,497655585823641,,Lốc,
TAM2171,8859387702173,Lon INABA CIAO Thịt Cá Ngừ Trắng xé nhỏ Với Thạch Cá Cơm ( A02),Lon,
TAM2172,8859387702180,Lon INABA CIAO Thịt Cá Ngừ Trắng xé nhỏ Với Thạch Mực Ống (A03),Lon,
TAM2173,8859387702197,Lon INABA CIAO Thịt Cá Ngừ Trắng xé nhỏ Với Thạch Cá Ngừ Khô (A10 ),Lon,
TAM2174,8859387702203,Lon INABA CIAO Gà Phi Lê xé nhỏ Với Thạch Thanh Cua (C13),Lon,
TAM2175,8938531003820,5 Plus Catchy Cá ngừ và cá hồi trong thạch 70g (TP0172),Túi,
TAM2176,8938531003851,5 Plus Catchy Cá ngừ tôm và cà rốt trong thạch 70g (TP0175),Túi,
